,CL,NG,SI,PL,SB,HG,RR,LH,PA,HO,CUA,GC,CT,FC,KC,RS,C,S,W,O,UX
6-24,0.016768847134598967,,,,,,,,,,,,,,,,,,,,
6-25,0.017098611273234254,,,,,,,,,,,,,,,,,,,,
6-26,0.01796016288824195,,,,,,,,,,,,,,,,,,,,
6-27,0.01876050389836396,,,,,,,,,,,,,,,,,,,,
6-28,0.019392292662282293,,,,,,,,,,,,,,,,,,,,
6-29,0.01969053333425891,,,,,,,,,,,,,,,,,,,,
6-30,0.020100629117900507,,,,,,,,,,,,,,,,,,,,
6-31,0.020062995819734215,,,,,,,,,,,,,,,,,,,,
6-32,0.019517282469992646,,,,,,,,,,,,,,,,,,,,
6-33,0.01889896359224048,,,,,,,,,,,,,,,,,,,,
6-34,0.018549469805576205,,,,,,,,,,,,,,,,,,,,
7-8,0.014097683783553198,,,,,,,,,,,,,,,,,,,,
7-9,0.01320201424529385,,,,,,,,,,,,,,,,,,,,
7-10,0.012436966704145383,,,,,,,,,,,,,,,,,,,,
7-11,0.011774336028890614,,,,,,,,,,,,,,,,,,,,
7-12,0.010777777893550557,,,,,,,,,,,,,,,,,,,,
7-13,0.009133003821115298,,,,,,,,,,,,,,,,,,,,
7-14,0.007866525799766919,,,,,,,,,,,,,,,,,,,,
7-15,0.007913006490213521,,,,,,,,,,,,,,,,,,,,
7-16,0.009270097437266709,,,,,,,,,,,,,,,,,,,,
7-17,0.010624860591662863,,,,,,,,,,,,,,,,,,,,
7-18,0.011591485438552566,,,,,,,,,,,,,,,,,,,,
7-19,0.012467930805151796,,,,,,,,,,,,,,,,,,,,
7-20,0.013998960912251807,,,,,,,,,,,,,,,,,,,,
7-21,0.015562338010837524,,,,,,,,,,,,,,,,,,,,
7-22,0.01649079576972775,,,,,,,,,,,,,,,,,,,,
7-23,0.0167061623488099,,,,,,,,,,,,,,,,,,,,
7-24,0.017107916422279056,,,,,,,,,,,,,,,,,,,,
7-25,0.017649130454643547,,,,,,,,,,,,,,,,,,,,
7-26,0.01842505489575711,,,,,,,,,,,,,,,,,,,,
7-27,0.018948215205286688,,,,,,,,,,,,,,,,,,,,
7-28,0.019430219184262947,,,,,,,,,,,,,,,,,,,,
7-29,0.019693034804643468,,,,,,,,,,,,,,,,,,,,
7-30,0.019925891706401428,,,,,,,,,,,,,,,,,,,,
7-31,0.019709997723374357,,,,,,,,,,,,,,,,,,,,
7-32,0.019230972067563964,,,,,,,,,,,,,,,,,,,,
7-33,0.018774423630119257,,,,,,,,,,,,,,,,,,,,
7-34,0.01875265931490798,,,,,,,,,,,,,,,,,,,,
8-9,0.012514527863337989,,,,,,,,,,,,,,,,,,,,
8-10,0.012235744360927473,,,,,,,,,,,,,,,,,,,,
8-11,0.011583983196604322,,,,,,,,,,,,,,,,,,,,
8-12,0.01016953328645243,,,,,,,,,,,,,,,,,,,,
8-13,0.008601802394616323,,,,,,,,,,,,,,,,,,,,
8-14,0.008152162424965028,,,,,,,,,,,,,,,,,,,,
8-15,0.008819039125777325,,,,,,,,,,,,,,,,,,,,
8-16,0.010126824918740354,,,,,,,,,,,,,,,,,,,,
8-17,0.01144090674417117,,,,,,,,,,,,,,,,,,,,
8-18,0.012107453441517394,,,,,,,,,,,,,,,,,,,,
8-19,0.012959824876955637,,,,,,,,,,,,,,,,,,,,
8-20,0.01427368563584717,,,,,,,,,,,,,,,,,,,,
8-21,0.015853187727439058,,,,,,,,,,,,,,,,,,,,
8-22,0.016577709642308376,,,,,,,,,,,,,,,,,,,,
8-23,0.017010367611748074,,,,,,,,,,,,,,,,,,,,
8-24,0.017587818430451745,,,,,,,,,,,,,,,,,,,,
8-25,0.01809681125513222,,,,,,,,,,,,,,,,,,,,
8-26,0.018631355675933426,,,,,,,,,,,,,,,,,,,,
8-27,0.019036100013845994,,,,,,,,,,,,,,,,,,,,
8-28,0.019464207851973118,,,,,,,,,,,,,,,,,,,,
8-29,0.019589141988403284,,,,,,,,,,,,,,,,,,,,
