,CL,NG,SI,PL,SB,HG,RR,LH,PA,HO,CUA,GC,CT,FC,KC,RS,C,S,W,O,UX
21-14,,,,,,,,,,,,,,,,,,0.12166662860549984,0.07212222948128258,0.04194628363188147,0.026399880334753455
21-15,,,,,,,,,,,,,,,,,,0.12148145055844317,0.07195910376394518,0.04243548371655219,0.026355894821815863
21-16,,,,,,,,,,,,,,,,,,0.12112252293177833,0.07185565260474665,0.04285121921748535,0.026320561412326072
21-17,,,,,,,,,,,,,,,,,,0.12091291798919385,0.07185837991084174,0.04317094201720398,0.02628391189693606
21-18,,,,,,,,,,,,,,,,,,0.12047283170491271,0.07181137416927333,0.04375825786696043,0.026259927356311552
21-19,,,,,,,,,,,,,,,,,,0.12013491570060916,0.07184659448248193,0.04424009388978525,0.0262541382341851
21-20,,,,,,,,,,,,,,,,,,0.11972737665404846,0.07190700434239242,0.044716914892632374,0.02624877094915415
21-21,,,,,,,,,,,,,,,,,,0.11955247646376553,0.07201425742583924,0.04517196706369875,0.026240659486727654
21-22,,,,,,,,,,,,,,,,,,0.11942186766962835,0.07211833123463413,0.04560121827585152,0.026233454027590076
21-23,,,,,,,,,,,,,,,,,,0.119277431449087,0.07222365348915993,0.04591205276012756,0.026224754411972133
21-24,,,,,,,,,,,,,,,,,,0.11924390601881085,0.07231085341419442,0.046203508053106024,0.02624313049630286
21-25,,,,,,,,,,,,,,,,,,0.11922398033248875,0.07239616778343952,0.04643068392740498,0.02623151748756093
22-1,,,,,,,,,,,,,,,,,,,0.07052964373345674,0.03766724873630987,0.02845233429040166
22-2,,,,,,,,,,,,,,,,,,,0.0707327213862079,0.037828969392477076,0.02826006052644249
22-3,,,,,,,,,,,,,,,,,,,0.07095072544523069,0.03803317312688704,0.028033417053779194
22-4,,,,,,,,,,,,,,,,,,,0.07120018876955234,0.03823188347653718,0.027805195947953946
22-5,,,,,,,,,,,,,,,,,,,0.07134736749842775,0.03846970745492448,0.02758849670537088
22-6,,,,,,,,,,,,,,,,,,,0.07151009902133246,0.03867462317102601,0.027364470176118018
